 3.000     1.500    0.28941E+07
 3.000     2.500    0.96383E+06
 3.000     3.500    0.92226E+07
 3.000     4.500    0.23637E+07
 5.000     1.500    0.23428E+07
 5.000     2.500    0.78048E+06
 5.000     3.500    0.71655E+07
 5.000     4.500    0.18271E+07
 7.000     1.500    0.16992E+07
 7.000     2.500    0.32825E+06
 7.000     3.500    0.58673E+07
 7.000     4.500    0.13904E+07
 9.000     1.500    0.16094E+07
 9.000     2.500    0.16761E+08
 9.000     3.500    0.45431E+07
 9.000     4.500    0.10014E+07
11.000     1.500    0.12524E+07
11.000     2.500    0.14279E+08
11.000     3.500    0.35696E+07
11.000     4.500    0.68608E+06
13.000     1.500    0.93878E+06
13.000     2.500    0.10702E+08
13.000     3.500    0.29371E+07
13.000     4.500    0.50305E+06
15.000     1.500    0.38802E+06
15.000     2.500    0.89888E+07
15.000     3.500    0.22798E+07
15.000     4.500    0.44709E+06
17.000     1.500    0.46406E+08
17.000     2.500    0.63698E+07
17.000     3.500    0.17104E+07
17.000     4.500    0.16190E+06
19.000     1.500    0.30995E+08
19.000     2.500    0.52200E+07
19.000     3.500    0.11872E+07
21.000     1.500    0.23910E+08
21.000     2.500    0.42988E+07
21.000     3.500    0.98376E+06
23.000     1.500    0.18161E+08
23.000     2.500    0.33152E+07
23.000     3.500    0.67972E+06
25.000     1.500    0.14181E+08
25.000     2.500    0.24107E+07
25.000     3.500    0.26555E+06
27.000     1.500    0.10328E+08
27.000     2.500    0.18640E+07
27.000     3.500    0.85403E+07

